FoldingJib,MainJib,Outreach,Height,Condition,Environment,Cd,Load
0.0,0.0,15.27,-1.37,Cdyn130,Deck,1.3,5.32
0.0,6.86,15.88,0.52,Cdyn130,Deck,1.3,6.23
0.0,13.71,16.27,2.48,Cdyn130,Deck,1.3,7.5
0.0,20.57,16.42,4.46,Cdyn130,Deck,1.3,9.28
0.0,27.43,16.33,6.44,Cdyn130,Deck,1.3,11.8
0.0,34.29,16.01,8.41,Cdyn130,Deck,1.3,15.51
0.0,41.14,15.45,10.31,Cdyn130,Deck,1.3,21.36
0.0,48.0,14.67,12.14,Cdyn130,Deck,1.3,31.63
0.0,54.86,13.68,13.87,Cdyn130,Deck,1.3,53.76
0.0,61.71,12.48,15.46,Cdyn130,Deck,1.3,81.91
0.0,68.57,11.11,16.7,Cdyn130,Deck,1.3,87.68
0.0,75.43,9.58,17.76,Cdyn130,Deck,1.3,91.0
0.0,82.29,7.9,18.64,Cdyn130,Deck,1.3,91.0
0.0,84.0,7.46,18.83,Cdyn130,Deck,1.3,91.0
8.33,0.0,16.29,-2.77,Cdyn130,Deck,1.3,13.42
8.33,6.86,17.07,-0.74,Cdyn130,Deck,1.3,15.43
8.33,13.71,17.59,1.36,Cdyn130,Deck,1.3,18.23
8.33,20.57,17.87,3.51,Cdyn130,Deck,1.3,22.22
8.33,27.43,17.88,5.67,Cdyn130,Deck,1.3,28.19
8.33,34.29,17.64,7.83,Cdyn130,Deck,1.3,37.74
8.33,41.14,17.14,9.93,Cdyn130,Deck,1.3,55.09
8.33,48.0,16.39,11.97,Cdyn130,Deck,1.3,65.34
8.33,54.86,15.41,13.86,Cdyn130,Deck,1.3,69.54
8.33,61.71,14.2,15.46,Cdyn130,Deck,1.3,74.58
8.33,68.57,12.79,16.9,Cdyn130,Deck,1.3,80.39
8.33,75.43,11.19,18.16,Cdyn130,Deck,1.3,69.19
8.33,82.29,9.43,19.24,Cdyn130,Deck,1.3,54.59
8.33,84.0,8.99,19.47,Cdyn130,Deck,1.3,51.84
16.65,0.0,17.5,-4.0,Cdyn130,Deck,1.3,22.38
16.65,6.86,18.42,-1.83,Cdyn130,Deck,1.3,26.19
16.65,13.71,19.07,0.44,Cdyn130,Deck,1.3,31.66
16.65,20.57,19.44,2.77,Cdyn130,Deck,1.3,39.93
16.65,27.43,19.53,5.13,Cdyn130,Deck,1.3,51.75
16.65,34.29,19.34,7.49,Cdyn130,Deck,1.3,52.77
16.65,41.14,18.87,9.8,Cdyn130,Deck,1.3,54.88
16.65,48.0,18.13,11.96,Cdyn130,Deck,1.3,58.04
16.65,54.86,17.12,13.9,Cdyn130,Deck,1.3,62.2
16.65,61.71,15.87,15.7,Cdyn130,Deck,1.3,67.31
16.65,68.57,14.38,17.34,Cdyn130,Deck,1.3,65.63
16.65,75.43,12.71,18.8,Cdyn130,Deck,1.3,52.22
16.65,82.29,10.95,20.06,Cdyn130,Deck,1.3,43.53
16.65,84.0,10.49,20.35,Cdyn130,Deck,1.3,41.83
24.98,0.0,18.88,-5.05,Cdyn130,Deck,1.3,32.95
24.98,6.86,19.91,-2.7,Cdyn130,Deck,1.3,39.86
24.98,13.71,20.66,-0.25,Cdyn130,Deck,1.3,46.74
24.98,20.57,21.1,2.28,Cdyn130,Deck,1.3,45.65
24.98,27.43,21.24,4.84,Cdyn130,Deck,1.3,45.46
24.98,34.29,21.07,7.4,Cdyn130,Deck,1.3,45.86
24.98,41.14,20.6,9.8,Cdyn130,Deck,1.3,47.56
24.98,48.0,19.83,12.04,Cdyn130,Deck,1.3,50.71
24.98,54.86,18.77,14.18,Cdyn130,Deck,1.3,54.96
24.98,61.71,17.44,16.18,Cdyn130,Deck,1.3,60.27
24.98,68.57,15.91,18.02,Cdyn130,Deck,1.3,50.05
24.98,75.43,14.22,19.67,Cdyn130,Deck,1.3,42.07
24.98,82.29,12.34,21.1,Cdyn130,Deck,1.3,36.55
24.98,84.0,11.84,21.43,Cdyn130,Deck,1.3,35.44
33.31,0.0,20.4,-5.89,Cdyn130,Deck,1.3,46.74
33.31,6.86,21.52,-3.35,Cdyn130,Deck,1.3,44.64
33.31,13.71,22.33,-0.7,Cdyn130,Deck,1.3,43.06
33.31,20.57,22.82,2.03,Cdyn130,Deck,1.3,42.12
33.31,27.43,22.97,4.8,Cdyn130,Deck,1.3,41.82
33.31,34.29,22.8,7.4,Cdyn130,Deck,1.3,42.18
33.31,41.14,22.29,9.92,Cdyn130,Deck,1.3,43.18
33.31,48.0,21.47,12.37,Cdyn130,Deck,1.3,44.82
33.31,54.86,20.3,14.71,Cdyn130,Deck,1.3,47.97
33.31,61.71,18.97,16.9,Cdyn130,Deck,1.3,48.07
33.31,68.57,17.39,18.93,Cdyn130,Deck,1.3,40.71
33.31,75.43,15.58,20.75,Cdyn130,Deck,1.3,35.59
33.31,82.29,13.56,22.33,Cdyn130,Deck,1.3,31.94
33.31,84.0,13.03,22.69,Cdyn130,Deck,1.3,31.21
41.63,0.0,22.03,-6.5,Cdyn130,Deck,1.3,43.6
41.63,6.86,23.21,-3.76,Cdyn130,Deck,1.3,41.22
41.63,13.71,24.05,-0.91,Cdyn130,Deck,1.3,39.5
41.63,20.57,24.55,2.02,Cdyn130,Deck,1.3,38.47
41.63,27.43,24.69,4.79,Cdyn130,Deck,1.3,38.13
41.63,34.29,24.48,7.56,Cdyn130,Deck,1.3,38.5
41.63,41.14,23.92,10.29,Cdyn130,Deck,1.3,39.58
41.63,48.0,22.99,12.94,Cdyn130,Deck,1.3,41.34
41.63,54.86,21.86,15.47,Cdyn130,Deck,1.3,43.75
41.63,61.71,20.43,17.85,Cdyn130,Deck,1.3,39.46
41.63,68.57,18.72,20.04,Cdyn130,Deck,1.3,34.7
41.63,75.43,16.77,22.01,Cdyn130,Deck,1.3,31.31
41.63,82.29,14.59,23.73,Cdyn130,Deck,1.3,28.89
41.63,84.0,14.02,24.12,Cdyn130,Deck,1.3,28.4
49.96,0.0,23.72,-6.86,Cdyn130,Deck,1.3,40.15
49.96,6.86,24.93,-3.93,Cdyn130,Deck,1.3,37.64
49.96,13.71,25.78,-0.91,Cdyn130,Deck,1.3,35.84
49.96,20.57,26.26,2.03,Cdyn130,Deck,1.3,34.78
49.96,27.43,26.37,5.0,Cdyn130,Deck,1.3,34.47
49.96,34.29,26.09,7.98,Cdyn130,Deck,1.3,34.92
49.96,41.14,25.44,10.9,Cdyn130,Deck,1.3,36.13
49.96,48.0,24.53,13.74,Cdyn130,Deck,1.3,38.06
49.96,54.86,23.29,16.45,Cdyn130,Deck,1.3,38.3
49.96,61.71,21.73,18.99,Cdyn130,Deck,1.3,33.88
49.96,68.57,19.88,21.33,Cdyn130,Deck,1.3,30.72
49.96,75.43,17.76,23.43,Cdyn130,Deck,1.3,28.47
49.96,82.29,15.41,25.26,Cdyn130,Deck,1.3,26.93
49.96,84.0,14.79,25.67,Cdyn130,Deck,1.3,26.64
58.29,0.0,25.45,-6.98,Cdyn130,Deck,1.3,36.54
58.29,6.86,26.66,-3.93,Cdyn130,Deck,1.3,33.96
58.29,13.71,27.49,-0.86,Cdyn130,Deck,1.3,32.15
58.29,20.57,27.93,2.28,Cdyn130,Deck,1.3,31.13
58.29,27.43,27.96,5.46,Cdyn130,Deck,1.3,30.91
58.29,34.29,27.61,8.63,Cdyn130,Deck,1.3,31.51
58.29,41.14,26.96,11.74,Cdyn130,Deck,1.3,32.9
58.29,48.0,25.94,14.76,Cdyn130,Deck,1.3,35.08
58.29,54.86,24.56,17.63,Cdyn130,Deck,1.3,33.11
58.29,61.71,22.85,20.31,Cdyn130,Deck,1.3,30.17
58.29,68.57,20.84,22.77,Cdyn130,Deck,1.3,28.09
58.29,75.43,18.54,24.98,Cdyn130,Deck,1.3,26.68
58.29,82.29,16.0,26.89,Cdyn130,Deck,1.3,25.83
58.29,84.0,15.33,27.32,Cdyn130,Deck,1.3,25.69
66.61,0.0,27.18,-6.99,Cdyn130,Deck,1.3,32.86
66.61,6.86,28.36,-3.84,Cdyn130,Deck,1.3,30.28
66.61,13.71,29.14,-0.57,Cdyn130,Deck,1.3,28.52
66.61,20.57,29.5,2.78,Cdyn130,Deck,1.3,27.6
66.61,27.43,29.48,6.16,Cdyn130,Deck,1.3,27.53
66.61,34.29,29.11,9.51,Cdyn130,Deck,1.3,28.33
66.61,41.14,28.34,12.8,Cdyn130,Deck,1.3,29.97
66.61,48.0,27.18,15.97,Cdyn130,Deck,1.3,32.39
66.61,54.86,25.65,18.97,Cdyn130,Deck,1.3,29.66
66.61,61.71,23.77,21.78,Cdyn130,Deck,1.3,27.73
66.61,68.57,21.58,24.34,Cdyn130,Deck,1.3,26.45
66.61,75.43,19.09,26.62,Cdyn130,Deck,1.3,25.71
66.61,82.29,16.35,28.59,Cdyn130,Deck,1.3,25.45
66.61,84.0,15.63,29.03,Cdyn130,Deck,1.3,25.45
74.94,0.0,28.87,-6.85,Cdyn130,Deck,1.3,29.18
74.94,6.86,30.0,-3.49,Cdyn130,Deck,1.3,26.66
74.94,13.71,30.67,-0.02,Cdyn130,Deck,1.3,25.01
74.94,20.57,31.02,3.52,Cdyn130,Deck,1.3,24.25
74.94,27.43,30.95,7.07,Cdyn130,Deck,1.3,24.4
74.94,34.29,30.46,10.6,Cdyn130,Deck,1.3,25.45
74.94,41.14,29.55,14.04,Cdyn130,Deck,1.3,27.39
74.94,48.0,28.23,17.34,Cdyn130,Deck,1.3,29.18
74.94,54.86,26.53,20.47,Cdyn130,Deck,1.3,27.41
74.94,61.71,24.47,23.37,Cdyn130,Deck,1.3,26.25
74.94,68.57,22.08,26.0,Cdyn130,Deck,1.3,25.61
74.94,75.43,19.39,28.33,Cdyn130,Deck,1.3,25.45
74.94,82.29,16.44,30.32,Cdyn130,Deck,1.3,25.49
74.94,84.0,15.67,30.76,Cdyn130,Deck,1.3,25.45
83.27,0.0,30.49,-6.46,Cdyn130,Deck,1.3,25.59
83.27,6.86,31.52,-2.91,Cdyn130,Deck,1.3,23.19
83.27,13.71,32.22,0.75,Cdyn130,Deck,1.3,22.3
83.27,20.57,32.47,4.47,Cdyn130,Deck,1.3,22.06
83.27,27.43,32.28,8.2,Cdyn130,Deck,1.3,22.24
83.27,34.29,31.64,11.87,Cdyn130,Deck,1.3,22.94
83.27,41.14,30.57,15.44,Cdyn130,Deck,1.3,25.22
83.27,48.0,29.08,18.86,Cdyn130,Deck,1.3,27.11
83.27,54.86,27.19,22.07,Cdyn130,Deck,1.3,26.07
83.27,61.71,24.94,25.04,Cdyn130,Deck,1.3,25.54
83.27,68.57,22.34,27.71,Cdyn130,Deck,1.3,25.48
83.27,75.43,19.44,30.06,Cdyn130,Deck,1.3,25.46
83.27,82.29,16.29,32.05,Cdyn130,Deck,1.3,25.59
83.27,84.0,15.46,32.48,Cdyn130,Deck,1.3,25.69
91.59,0.0,32.01,-5.84,Cdyn130,Deck,1.3,22.49
91.59,6.86,33.05,-2.09,Cdyn130,Deck,1.3,21.52
91.59,13.71,33.64,1.74,Cdyn130,Deck,1.3,20.98
91.59,20.57,33.76,5.63,Cdyn130,Deck,1.3,20.86
91.59,27.43,33.42,9.5,Cdyn130,Deck,1.3,21.18
91.59,34.29,32.62,13.3,Cdyn130,Deck,1.3,21.92
91.59,41.14,31.37,16.97,Cdyn130,Deck,1.3,23.51
91.59,48.0,29.7,20.48,Cdyn130,Deck,1.3,25.92
91.59,54.86,27.61,23.75,Cdyn130,Deck,1.3,25.49
91.59,61.71,25.15,26.76,Cdyn130,Deck,1.3,25.52
91.59,68.57,22.35,29.45,Cdyn130,Deck,1.3,25.45
91.59,75.43,19.24,31.78,Cdyn130,Deck,1.3,25.68
91.59,82.29,15.88,33.73,Cdyn130,Deck,1.3,26.38
91.59,84.0,15.01,34.16,Cdyn130,Deck,1.3,26.63
99.92,0.0,33.52,-4.98,Cdyn130,Deck,1.3,21.09
99.92,6.86,34.45,-1.07,Cdyn130,Deck,1.3,20.22
99.92,13.71,34.9,2.93,Cdyn130,Deck,1.3,19.8
99.92,20.57,34.88,6.96,Cdyn130,Deck,1.3,19.83
99.92,27.43,34.37,10.95,Cdyn130,Deck,1.3,20.3
99.92,34.29,33.39,14.85,Cdyn130,Deck,1.3,21.21
99.92,41.14,31.95,18.61,Cdyn130,Deck,1.3,22.55
99.92,48.0,30.07,22.17,Cdyn130,Deck,1.3,25.46
99.92,54.86,27.78,25.48,Cdyn130,Deck,1.3,25.59
99.92,61.71,25.11,28.49,Cdyn130,Deck,1.3,25.46
99.92,68.57,22.1,31.17,Cdyn130,Deck,1.3,25.79
99.92,75.43,18.8,33.46,Cdyn130,Deck,1.3,26.59
99.92,82.29,15.24,35.34,Cdyn130,Deck,1.3,27.93
99.92,84.0,14.32,35.75,Cdyn130,Deck,1.3,28.36
102.0,0.0,33.88,-4.74,Cdyn130,Deck,1.3,20.75
102.0,6.86,34.78,-0.78,Cdyn130,Deck,1.3,19.92
102.0,13.71,35.19,3.26,Cdyn130,Deck,1.3,19.54
102.0,20.57,35.12,7.31,Cdyn130,Deck,1.3,19.6
102.0,27.43,34.57,11.33,Cdyn130,Deck,1.3,20.11
102.0,34.29,33.54,15.26,Cdyn130,Deck,1.3,21.07
102.0,41.14,32.06,19.03,Cdyn130,Deck,1.3,22.45
102.0,48.0,30.13,22.6,Cdyn130,Deck,1.3,25.45
102.0,54.86,27.78,25.91,Cdyn130,Deck,1.3,25.5
102.0,61.71,25.06,28.92,Cdyn130,Deck,1.3,25.51
102.0,68.57,22.0,31.59,Cdyn130,Deck,1.3,25.98
102.0,75.43,18.65,33.87,Cdyn130,Deck,1.3,26.94
102.0,82.29,15.04,35.73,Cdyn130,Deck,1.3,28.45
102.0,84.0,14.11,36.13,Cdyn130,Deck,1.3,28.93
0.0,0.0,15.27,-1.37,Cdyn115,Harbour,1.15,9.63
0.0,6.86,15.88,0.52,Cdyn115,Harbour,1.15,11.23
0.0,13.71,16.27,2.48,Cdyn115,Harbour,1.15,13.44
0.0,20.57,16.42,4.46,Cdyn115,Harbour,1.15,16.53
0.0,27.43,16.33,6.44,Cdyn115,Harbour,1.15,20.91
0.0,34.29,16.01,8.41,Cdyn115,Harbour,1.15,27.37
0.0,41.14,15.45,10.31,Cdyn115,Harbour,1.15,37.54
0.0,48.0,14.67,12.14,Cdyn115,Harbour,1.15,55.4
0.0,54.86,13.68,13.87,Cdyn115,Harbour,1.15,93.89
0.0,61.71,12.48,15.46,Cdyn115,Harbour,1.15,140.0
0.0,68.57,11.11,16.7,Cdyn115,Harbour,1.15,140.0
0.0,75.43,9.58,17.76,Cdyn115,Harbour,1.15,140.0
0.0,82.29,7.9,18.64,Cdyn115,Harbour,1.15,114.99
0.0,84.0,7.46,18.83,Cdyn115,Harbour,1.15,107.7
8.33,0.0,16.29,-2.77,Cdyn115,Harbour,1.15,23.74
8.33,6.86,17.07,-0.74,Cdyn115,Harbour,1.15,27.22
8.33,13.71,17.59,1.36,Cdyn115,Harbour,1.15,32.09
8.33,20.57,17.87,3.51,Cdyn115,Harbour,1.15,39.04
8.33,27.43,17.88,5.67,Cdyn115,Harbour,1.15,49.41
8.33,34.29,17.64,7.83,Cdyn115,Harbour,1.15,66.03
8.33,41.14,17.14,9.93,Cdyn115,Harbour,1.15,96.2
8.33,48.0,16.39,11.97,Cdyn115,Harbour,1.15,121.39
8.33,54.86,15.41,13.86,Cdyn115,Harbour,1.15,127.62
8.33,61.71,14.2,15.46,Cdyn115,Harbour,1.15,135.09
8.33,68.57,12.79,16.9,Cdyn115,Harbour,1.15,140.0
8.33,75.43,11.19,18.16,Cdyn115,Harbour,1.15,120.72
8.33,82.29,9.43,19.24,Cdyn115,Harbour,1.15,95.34
8.33,84.0,8.99,19.47,Cdyn115,Harbour,1.15,90.55
16.65,0.0,17.5,-4.0,Cdyn115,Harbour,1.15,39.31
16.65,6.86,18.42,-1.83,Cdyn115,Harbour,1.15,45.93
16.65,13.71,19.07,0.44,Cdyn115,Harbour,1.15,55.45
16.65,20.57,19.44,2.77,Cdyn115,Harbour,1.15,69.84
16.65,27.43,19.53,5.13,Cdyn115,Harbour,1.15,93.39
16.65,34.29,19.34,7.49,Cdyn115,Harbour,1.15,102.75
16.65,41.14,18.87,9.8,Cdyn115,Harbour,1.15,105.88
16.65,48.0,18.13,11.96,Cdyn115,Harbour,1.15,110.56
16.65,54.86,17.12,13.9,Cdyn115,Harbour,1.15,116.74
16.65,61.71,15.87,15.7,Cdyn115,Harbour,1.15,124.32
16.65,68.57,14.38,17.34,Cdyn115,Harbour,1.15,114.53
16.65,75.43,12.71,18.8,Cdyn115,Harbour,1.15,91.2
16.65,82.29,10.95,20.06,Cdyn115,Harbour,1.15,76.1
16.65,84.0,10.49,20.35,Cdyn115,Harbour,1.15,73.15
24.98,0.0,18.88,-5.05,Cdyn115,Harbour,1.15,57.69
24.98,6.86,19.91,-2.7,Cdyn115,Harbour,1.15,69.72
24.98,13.71,20.66,-0.25,Cdyn115,Harbour,1.15,88.13
24.98,20.57,21.1,2.28,Cdyn115,Harbour,1.15,91.46
24.98,27.43,21.24,4.84,Cdyn115,Harbour,1.15,90.88
24.98,34.29,21.07,7.4,Cdyn115,Harbour,1.15,92.07
24.98,41.14,20.6,9.8,Cdyn115,Harbour,1.15,95.02
24.98,48.0,19.83,12.04,Cdyn115,Harbour,1.15,99.69
24.98,54.86,18.77,14.18,Cdyn115,Harbour,1.15,106.0
24.98,61.71,17.44,16.18,Cdyn115,Harbour,1.15,108.97
24.98,68.57,15.91,18.02,Cdyn115,Harbour,1.15,87.44
24.98,75.43,14.22,19.67,Cdyn115,Harbour,1.15,73.55
24.98,82.29,12.34,21.1,Cdyn115,Harbour,1.15,63.95
24.98,84.0,11.84,21.43,Cdyn115,Harbour,1.15,62.03
33.31,0.0,20.4,-5.89,Cdyn115,Harbour,1.15,81.68
33.31,6.86,21.52,-3.35,Cdyn115,Harbour,1.15,88.48
33.31,13.71,22.33,-0.7,Cdyn115,Harbour,1.15,83.82
33.31,20.57,22.82,2.03,Cdyn115,Harbour,1.15,81.02
33.31,27.43,22.97,4.8,Cdyn115,Harbour,1.15,80.51
33.31,34.29,22.8,7.4,Cdyn115,Harbour,1.15,81.2
33.31,41.14,22.29,9.92,Cdyn115,Harbour,1.15,84.16
33.31,48.0,21.47,12.37,Cdyn115,Harbour,1.15,89.0
33.31,54.86,20.3,14.71,Cdyn115,Harbour,1.15,95.63
33.31,61.71,18.97,16.9,Cdyn115,Harbour,1.15,83.99
33.31,68.57,17.39,18.93,Cdyn115,Harbour,1.15,71.2
33.31,75.43,15.58,20.75,Cdyn115,Harbour,1.15,62.29
33.31,82.29,13.56,22.33,Cdyn115,Harbour,1.15,55.95
33.31,84.0,13.03,22.69,Cdyn115,Harbour,1.15,54.66
41.63,0.0,22.03,-6.5,Cdyn115,Harbour,1.15,78.57
41.63,6.86,23.21,-3.76,Cdyn115,Harbour,1.15,79.51
41.63,13.71,24.05,-0.91,Cdyn115,Harbour,1.15,76.61
41.63,20.57,24.55,2.02,Cdyn115,Harbour,1.15,74.87
41.63,27.43,24.69,4.79,Cdyn115,Harbour,1.15,74.31
